,Name,Score,Original Price,Discount,Discounted Price,Platform,Win,Linux,Mac,Release Date
0,theHunter: Call of the Wild™,9,"19,99€",-70%,"5,99€                    ",win,1,0,0,"16 Feb, 2017"
1,We Happy Few,7,"59,99€",-85%,"8,99€                    ",win,1,0,0,"10 Aug, 2018"
2,Hearts of Iron IV,9,"39,99€",-75%,"9,99€                    ",win mac linux,1,1,1,"6 Jun, 2016"
3,Titanfall® 2,10,"29,99€",-67%,"9,89€                    ",win,1,0,0,"18 Jun, 2020"
4,theHunter: Call of the Wild™- Complete Collection,9,"115,81€",-58%,"48,78€                    ",win,1,0,0,
5,Crusader Kings III,9,"49,99€",-20%,"39,99€                    ",win mac linux,1,1,1,"1 Sep, 2020"
6,Hearts of Iron IV: Mobilization Pack,9,"104,95€",-64%,"38,20€                    ",win mac linux,1,1,1,
7,Titanfall Collection,10,"49,98€",-71%,"14,30€                    ",win,1,0,0,
8,Haydee 2,9,"20,99€",-10%,"18,89€                    ",win,1,0,0,"23 Nov, 2020"
9,Command & Conquer™ Remastered Collection,9,"19,99€",-35%,"12,99€                    ",win,1,0,0,"5 Jun, 2020"
10,Total War: WARHAMMER II - The Twisted & The Twilight,,"9,99€",-10%,"8,99€                    ",win mac linux,1,1,1,"3 Dec, 2020"
11,Elite Dangerous,7,"24,99€",-75%,"6,25€                    ",win,1,0,0,"2 Apr, 2015"
12,Slasher's Keep,9,"13,99€",-25%,"10,49€                    ",win,1,0,0,"19 Nov, 2020"
13,art of rally,9,"20,99€",-20%,"16,79€                    ",win mac linux,1,1,1,"23 Sep, 2020"
14,Marvel's Avengers,6,"59,99€",-50%,"29,99€                    ",win,1,0,0,"4 Sep, 2020"
15,BPM: BULLETS PER MINUTE,9,"16,79€",-33%,"11,24€                    ",win,1,0,0,"15 Sep, 2020"
16,Thief,7,"19,99€",-85%,"2,99€                    ",win mac,1,0,1,"27 Feb, 2014"
17,Titanfall­™,7,"19,99€",-60%,"7,99€                    ",win,1,0,0,"20 Nov, 2020"
18,Noita,10,"18,99€",-25%,"14,24€                    ",win,1,0,0,"15 Oct, 2020"
19,Expansion - Hearts of Iron IV: Man the Guns,6,"19,99€",-50%,"9,99€                    ",win mac linux,1,1,1,"28 Feb, 2019"
20,Shenmue III,9,"49,99€",-66%,"16,99€                    ",win,1,0,0,"19 Nov, 2020"
21,Sleeping Dogs: Definitive Edition,9,"19,99€",-85%,"2,99€                    ",win mac,1,0,1,"14 Oct, 2014"
22,Expansion - Hearts of Iron IV: Waking the Tiger,7,"19,99€",-50%,"9,99€                    ",win mac linux,1,1,1,"8 Mar, 2018"
23,theHunter: Call of the Wild™ - ATV SABER 4X4,6,"3,99€",-43%,"2,27€                    ",win,1,0,0,"15 Jun, 2017"
24,theHunter: Call of the Wild™ - 2019 Edition,9,"51,93€",-65%,"18,39€                    ",win,1,0,0,
25,theHunter: Call of the Wild™ - Silver Ridge Peaks,6,"7,99€",-23%,"6,15€                    ",win,1,0,0,"23 Jun, 2020"
26,Expansion - Hearts of Iron IV: La Résistance,6,"19,99€",-33%,"13,39€                    ",win mac linux,1,1,1,"25 Feb, 2020"
27,theHunter: Call of the Wild™ - Yukon Valley,9,"7,99€",-43%,"4,55€                    ",win,1,0,0,"25 Jun, 2019"
28,theHunter: Call of the Wild™ - Medved-Taiga,9,"7,99€",-43%,"4,55€                    ",win,1,0,0,"17 Oct, 2017"
29,theHunter: Call of the Wild™ - 2021 Edition,9,"83,87€",-62%,"32,05€                    ",win,1,0,0,
30,古剑奇谭三(Gujian3),9,"24,99€",-41%,"14,74€                    ",win,1,0,0,"14 Dec, 2018"
31,Expansion - Hearts of Iron IV: Together for Victory,6,"14,99€",-50%,"7,49€                    ",win mac linux,1,1,1,"15 Dec, 2016"
32,theHunter: Call of the Wild™ - Cuatro Colinas Game Reserve,6,"7,99€",-33%,"5,35€                    ",win,1,0,0,"10 Dec, 2019"
33,Deus Ex: Human Revolution - Director's Cut,9,"19,99€",-85%,"2,99€                    ",win,1,0,0,"25 Oct, 2013"
34,theHunter: Call of the Wild™ - Parque Fernando,7,"7,99€",-43%,"4,55€                    ",win,1,0,0,"13 Dec, 2018"
35,theHunter: Call of the Wild™ - Smoking Barrels Weapon Pack,9,"3,99€",-33%,"2,67€                    ",win,1,0,0,"26 Mar, 2020"
