,Name,Name,Price,Name,Link,Name,Image,Name
0,34,.,195,.,87,.,465334433,/
1,42,.,1,.,101,.,402587091,/
2,20,.,5,.,79,.,463725871,/
3,11,.,75,.,64,.,412794245,/
4,40,.,120,.,89,.,439088061,/
5,17,.,1,.,68,.,451238889,/
6,11,.,120,.,62,.,451065663,/
7,28,.,80,.,79,.,458570222,/
8,49,.,49,.,100,.,8309650793,/
9,27,.,1,.,78,.,473441176,/
10,24,.,80,.,80,.,472324463,/
11,49,.,429,.,106,.,495510448,/
12,35,.,140,.,88,.,405329897,/
13,32,.,20,.,91,.,444758239,/
14,28,.,65,.,77,.,425894751,/
15,26,.,165,.,82,.,404004896,/
16,11,.,30,.,62,.,458512480,/
17,17,.,120,.,70,.,490788906,/
18,18,.,0,.,73,.,482861580,/
19,27,.,170,.,78,.,494856713,/
20,27,.,25,.,86,.,460763437,/
21,28,.,120,.,79,.,487438767,/
22,27,.,150,.,77,.,496645734,/
23,11,.,180,.,62,.,426357729,/
24,29,.,440,.,90,.,484337127,/
25,9,.,2,.,60,.,496615821,/
26,41,.,30,.,94,.,483816407,/
27,30,.,320,.,79,.,474101102,/
28,14,.,10,.,65,.,452002959,/
29,45,.,110,.,98,.,448114569,/
30,18,.,35,.,69,.,489851610,/
31,22,.,50,.,81,.,419281086,/
32,28,.,1,.,82,.,448010425,/
33,11,.,175,.,64,.,489435034,/
34,28,.,620,.,79,.,494278251,/
35,39,.,399,.,94,.,443745670,/
36,9,.,5,.,64,.,465624185,/
37,37,.,452,.,92,.,443526042,/
38,15,.,5,.,70,.,499792734,/
39,26,.,120,.,85,.,467383293,/
40,34,.,195,.,87,.,465334433,/
41,42,.,1,.,101,.,402587091,/
42,20,.,5,.,79,.,463725871,/
43,11,.,75,.,64,.,412794245,/
44,40,.,120,.,89,.,439088061,/
45,17,.,1,.,68,.,451238889,/
46,11,.,120,.,62,.,451065663,/
47,28,.,80,.,79,.,458570222,/
48,49,.,49,.,100,.,8309650793,/
49,27,.,1,.,78,.,473441176,/
50,24,.,80,.,80,.,472324463,/
51,49,.,429,.,106,.,495510448,/
52,35,.,140,.,88,.,405329897,/
53,32,.,20,.,91,.,444758239,/
54,28,.,65,.,77,.,425894751,/
55,26,.,165,.,82,.,404004896,/
56,11,.,30,.,62,.,458512480,/
57,17,.,120,.,70,.,490788906,/
58,18,.,0,.,73,.,482861580,/
59,27,.,170,.,78,.,494856713,/
60,27,.,25,.,86,.,460763437,/
61,28,.,120,.,79,.,487438767,/
62,27,.,150,.,77,.,496645734,/
63,11,.,180,.,62,.,426357729,/
64,29,.,440,.,90,.,484337127,/
65,9,.,2,.,60,.,496615821,/
66,41,.,30,.,94,.,483816407,/
67,30,.,320,.,79,.,474101102,/
68,14,.,10,.,65,.,452002959,/
69,45,.,110,.,98,.,448114569,/
70,18,.,35,.,69,.,489851610,/
71,22,.,50,.,81,.,419281086,/
72,28,.,1,.,82,.,448010425,/
73,11,.,175,.,64,.,489435034,/
74,28,.,620,.,79,.,494278251,/
75,39,.,399,.,94,.,443745670,/
76,9,.,5,.,64,.,465624185,/
77,37,.,452,.,92,.,443526042,/
78,15,.,5,.,70,.,499792734,/
79,26,.,120,.,85,.,467383293,/
80,28,.,30,.,89,.,476387121,/
81,9,.,50,.,62,.,413755263,/
82,19,.,0,.,75,.,0,/
83,45,.,4,.,98,.,497379891,/
84,13,.,20,.,72,.,489452565,/
85,50,.,16,.,101,.,436732960,/
86,28,.,580,.,81,.,400047424,/
87,38,.,250,.,99,.,466417126,/
88,10,.,4,.,63,.,439192205,/
89,39,.,80,.,90,.,440771896,/
90,27,.,20,.,86,.,422324984,/
91,9,.,8,.,62,.,495667185,/
92,28,.,139,.,83,.,499318416,/
93,21,.,4,.,74,.,486235441,/
94,17,.,239,.,72,.,471260343,/
95,33,.,357,.,86,.,9775521479,/
96,23,.,50,.,74,.,400481531,/
97,38,.,150,.,91,.,437942477,/
98,16,.,100,.,69,.,470843767,/
